807,432,147.37
808,384,130.99
809,391,133.38
810,416,141.91
811,416,141.91
812,448,152.82
813,385,131.33
814,440,150.10
815,398,135.77
816,414,141.23
817,406,138.50
818,448,152.82
819,422,143.96
820,372,126.90
821,370,126.22
822,400,136.45
823,445,151.80
824,398,135.77
825,358,122.12
826,387,132.02
827,408,139.18
828,400,136.45
829,446,152.14
830,405,138.16
831,362,123.49
832,400,136.45
833,448,152.82
834,382,130.31
835,477,162.72
836,407,138.84
837,382,130.31
838,451,153.85
839,416,141.91
840,443,151.12
841,411,140.20
842,412,140.54
843,410,139.86
844,431,147.03
845,430,146.68
846,430,146.68
847,395,134.74
848,400,136.45
849,400,136.45
850,453,154.53
851,448,152.82
852,391,133.38
853,382,130.31
854,419,142.93
855,387,132.02
856,404,137.81
857,416,141.91
858,464,158.28
859,432,147.37
860,362,123.49
861,425,144.98
862,480,163.74
863,399,136.11
864,446,152.14
865,431,147.03
866,432,147.37
867,394,134.40
868,435,148.39
869,422,143.96
870,433,147.71
871,363,123.83
872,434,148.05
873,402,137.13
874,418,142.59
875,417,142.25
876,455,155.21
877,414,141.23
878,462,157.60
879,415,141.57
880,393,134.06
881,387,132.02
882,406,138.50
883,437,149.07
884,400,136.45
885,495,168.86
886,420,143.27
887,394,134.40
888,464,158.28
889,421,143.61
890,426,145.32
891,458,156.24
892,439,149.75
893,419,142.93
894,430,146.68
895,402,137.13
896,433,147.71
897,423,144.30
898,432,147.37
899,397,135.43
900,483,164.76
901,415,141.57
902,438,149.41
903,403,137.47
904,448,152.82
905,419,142.93
906,445,151.80
907,457,155.89
908,417,142.25
909,453,154.53
910,427,145.66
911,461,157.26
912,405,138.16
913,423,144.30
914,427,145.66
915,451,153.85
916,446,152.14
917,428,146.00
918,384,130.99
919,384,130.99
920,416,141.91
921,457,155.89
922,422,143.96
923,433,147.71
924,386,131.67
925,470,160.33
926,464,158.28
927,434,148.05
928,372,126.90
929,411,140.20
930,421,143.61
931,438,149.41
932,432,147.37
933,470,160.33
934,464,158.28
935,426,145.32
936,418,142.59
937,485,165.45
938,446,152.14
939,402,137.13
940,415,141.57
941,415,141.57
942,448,152.82
943,450,153.51
944,456,155.55
945,455,155.21
946,400,136.45
947,416,141.91
948,452,154.19
949,411,140.20
950,412,140.54
951,432,147.37
952,459,156.58
953,493,168.18
954,393,134.06
955,473,161.35
956,377,128.60
957,490,167.15
958,368,125.53
959,451,153.85
960,385,131.33
961,437,149.07
962,400,136.45
963,475,162.03
964,467,159.31
965,426,145.32
966,399,136.11
967,393,134.06
968,462,157.60
969,501,170.90
970,450,153.51
971,455,155.21
972,462,157.60
973,434,148.05
974,471,160.67
975,400,136.45
976,418,142.59
977,448,152.82
978,431,147.03
979,483,164.76
980,463,157.94
981,432,147.37
982,461,157.26
983,437,149.07
984,477,162.72
985,425,144.98
986,432,147.37
987,482,164.42
988,432,147.37
989,447,152.48
990,466,158.96
991,412,140.54
992,450,153.51
993,434,148.05
994,410,139.86
995,401,136.79
996,416,141.91
997,407,138.84
998,415,141.57
999,418,142.59
1000,469,159.99
1001,400,136.45
1002,450,153.51
1003,432,147.37
1004,432,147.37
1005,459,156.58
1006,386,131.67
1007,429,146.34
1008,446,152.14
1009,434,148.05
1010,466,158.96
1011,441,150.44
1012,432,147.37
1013,432,147.37
1014,452,154.19
1015,429,146.34
1016,458,156.24
1017,434,148.05
1018,447,152.48
1019,477,162.72
1020,429,146.34
1021,442,150.78
1022,441,150.44
1023,446,152.14
1024,474,161.69
1025,463,157.94
1026,445,151.80
1027,459,156.58
1028,451,153.85
1029,455,155.21
1030,464,158.28
1031,398,135.77
1032,426,145.32
1033,443,151.12
1034,452,154.19
1035,473,161.35
1036,486,165.79
1037,450,153.51
1038,466,158.96
1039,528,180.11
1040,442,150.78
1041,432,147.37
1042,480,163.74
1043,464,158.28
1044,470,160.33
1045,462,157.60
1046,485,165.45
1047,481,164.08
1048,470,160.33
1049,433,147.71
1050,417,142.25
1051,466,158.96
1052,429,146.34
1053,503,171.59
1054,477,162.72
1055,469,159.99
1056,414,141.23
1057,433,147.71
1058,455,155.21
1059,464,158.28
1060,478,163.06
1061,493,168.18
1062,465,158.62
1063,498,169.88
1064,457,155.89
1065,470,160.33
1066,421,143.61
1067,486,165.79
1068,450,153.51
1069,487,166.13
1070,422,143.96
1071,432,147.37
1072,448,152.82
1073,497,169.54
1074,434,148.05
1075,450,153.51
1076,479,163.40
1077,430,146.68
1078,432,147.37
1079,496,169.20
1080,450,153.51
1081,468,159.65
1082,486,165.79
1083,472,161.01
1084,454,154.87
1085,442,150.78
1086,449,153.17
1087,451,153.85
1088,495,168.86
1089,447,152.48
1090,497,169.54
1091,459,156.58
1092,449,153.17
1093,467,159.31
1094,473,161.35
1095,444,151.46
